id,title,context,question,answers
1.0.17,Rakuten Symphony,"Following are the links to threat modelling documents of Rakuten Symphony: Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01, Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo, Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt
","I am new to threat modelling, where should I start?","{ ""text"": [""Following are the links to threat modelling documents of Rakuten Symphony: Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01, Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo, Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt"" ], ""answer_start"": [ 0 ] }"
1.0.18,Rakuten Symphony,"If there are any further questions, please contact rs-security-arb@mail.rakuten.com","I need more help, whom do I contact?","{ ""text"": [""If there are any further questions, please contact rs-security-arb@mail.rakuten.com"" ], ""answer_start"": [ 0 ] }"
1.0.19,Rakuten Symphony,Rakuten Symphony QMD process mandates that the threat modelling should be done during NPI and PMP workflow. Please refer to the QMD process for more details.,When do I do threat modelling?,"{ ""text"": [""Rakuten Symphony QMD process mandates that the threat modelling should be done during NPI and PMP workflow. Please refer to the QMD process for more details."" ], ""answer_start"": [ 0 ] }"
1.0.20,Rakuten Symphony,"NPI is new product introduction. There are several stages in NPI as below. NPI1 is Ideation, NPI2 is Feasibility Assessment, NPI3 is Product/ Concept Design, NPI4 is Development, NPI5 is Launch Preparation, NPI6 is Review/ Control, NPI7 is Retire",What is NPI?,"{ ""text"": [""NPI is new product introduction. There are several stages in NPI as below. NPI1 is Ideation, NPI2 is Feasibility Assessment, NPI3 is Product/ Concept Design, NPI4 is Development, NPI5 is Launch Preparation, NPI6 is Review/ Control, NPI7 is Retire"" ], ""answer_start"": [ 0 ] }"
1.0.21,Rakuten Symphony,PMP is Project management professional and the corresponding process used to manage a project.,What is PMP?,"{ ""text"": [""PMP is Project management professional and the corresponding process used to manage a project."" ], ""answer_start"": [ 0 ] }"
1.0.22,Rakuten Symphony,QMD is Rakuten Symphony quality management department,What is QMD?,"{ ""text"": [""QMD is Rakuten Symphony quality management department"" ], ""answer_start"": [ 0 ] }"
1.0.23,Rakuten Symphony,"The threat modelling is performed to assess the security posture of an existing product or identify the threats, risks and security controls need to be designed, implemented for a new product or new feature. The output of threat modelling exercise is a report and it enables the product team and the security architecture teams to prepare a plan to fix any gaps from product security point of view.
Also, Rakuten symphony customers are asking if the threat modelling reports of products can be shared with them during the RFP and contracting process. Hence, it becomes a mandatory requirement for different Rakuten Symphony products. From Rakuten Symphony point of view, we usually have to comply with the customer request by atleast providing a threat model  report summary, if not the entire internal threat model report. ",Why should I do threat modelling?,"{ ""text"": [""The threat modelling is performed to assess the security posture of an existing product or identify the threats, risks and security controls need to be designed, implemented for a new product or new feature. The output of threat modelling exercise is a report and it enables the product team and the security architecture teams to prepare a plan to fix any gaps from product security point of view."" ], ""answer_start"": [ 0 ] }"
1.0.24,Rakuten Symphony,"The threat modelling is performed to assess the security posture of an existing product or identify the threats, risks and security controls need to be designed, implemented for a new product or new feature. The output of threat modelling exercise is a report and it enables the product team and the security architecture teams to prepare a plan to fix any gaps from product security point of view. Also, Rakuten symphony customers are asking if the threat modelling reports of products can be shared with them during the RFP and contracting process. Hence, it becomes a mandatory requirement for different Rakuten Symphony products. From Rakuten Symphony point of view, we usually have to comply with the customer request by atleast providing a threat model  report summary, if not the entire internal threat model report.",Are customers requesting for threat modelling?,"{ ""text"": [""Rakuten symphony customers are asking if the threat modelling reports of products can be shared with them during the RFP and contracting process. Hence, it becomes a mandatory requirement for different Rakuten Symphony products. From Rakuten Symphony point of view, we usually have to comply with the customer request by atleast providing a threat model  report summary, if not the entire internal threat model report. "" ], ""answer_start"": [ 405 ] }"
1.0.25,Rakuten Symphony,If threat modelling is not performed the criteria to pass different gates in the NPI and PMP process is not possible and the product deployment will be delayed. There are no exceptions to threat model report generation as it is a mandatory requirement.,What if I do not do threat modelling?,"{ ""text"": [""If threat modelling is not performed the criteria to pass different gates in the NPI and PMP process is not possible and the product deployment will be delayed. There are no exceptions to threat model report generation as it is a mandatory requirement."" ], ""answer_start"": [ 0 ] }"
1.0.26,Rakuten Symphony,"The recommended tool for threat modelling in Rakuten Symphony is OWASP threat dragon, but if you find an alternative tool which has significant advantages over threat dragon, then the details can be shared with rs-security-arb@mail.rakuten.com and further discussions can happen.",Can I use a different threat modelling tool?,"{ ""text"": [""The recommended tool for threat modelling in Rakuten Symphony is OWASP threat dragon, but if you find an alternative tool which has significant advantages over threat dragon, then the details can be shared with rs-security-arb@mail.rakuten.com and further discussions can happen."" ], ""answer_start"": [ 0 ] }"
1.0.27,Rakuten Symphony,"NPI is new product introduction. There are several stages in NPI as below. NPI1 is Ideation, NPI2 is Feasibility Assessment, NPI3 is Product/ Concept Design, NPI4 is Development, NPI5 is Launch Preparation, NPI6 is Review/ Control, NPI7 is Retire",What is NPI2?,"{ ""text"": [""NPI2 is Feasibility Assessment"" ], ""answer_start"": [ 93 ] }"
1.0.28,Rakuten Symphony,"NPI is new product introduction. There are several stages in NPI as below. NPI1 is Ideation, NPI2 is Feasibility Assessment, NPI3 is Product/ Concept Design, NPI4 is Development, NPI5 is Launch Preparation, NPI6 is Review/ Control, NPI7 is Retire",What is NPI3?,"{ ""text"": [""NPI3 - Product/ Concept Design"" ], ""answer_start"": [ 125 ] }"
1.0.29,Rakuten Symphony,"NPI is new product introduction. There are several stages in NPI as below. NPI1 is Ideation, NPI2 is Feasibility Assessment, NPI3 is Product/ Concept Design, NPI4 is Development, NPI5 is Launch Preparation, NPI6 is Review/ Control, NPI7 is Retire",What is NPI4?,"{ ""text"": [""NPI4 - Development"" ], ""answer_start"": [ 158 ] }"
1.0.30,Rakuten Symphony,"NPI is new product introduction. There are several stages in NPI as below. NPI1 is Ideation, NPI2 is Feasibility Assessment, NPI3 is Product/ Concept Design, NPI4 is Development, NPI5 is Launch Preparation, NPI6 is Review/ Control, NPI7 is Retire",What is NPI5?,"{ ""text"": [""NPI5 - Launch Preparation"" ], ""answer_start"": [ 179 ] }"
,,,,
